Item Label;Description;alias;instance of;P1:string;P69:string;P44:wikibase-item;P33:quantity;P64:wikibase-item;P27:wikibase-item;P32:time;P49:wikibase-item;P50:wikibase-item;P52:wikibase-item;P56:wikibase-item;P55:wikibase-item;P59:wikibase-item;P57:wikibase-item;P65:wikibase-item;P58:wikibase-item;P60:wikibase-item;P54:wikibase-item;P53:wikibase-item;P51:string;P61:wikibase-itemPQ62-Cousin;P61:wikibase-itemPQ62-Grandchild;P61:wikibase-itemPQ62-Nephew;P61:wikibase-itemPQ62-Uncle;P61:wikibase-itemPQ62-Grandfather;P61:wikibase-itemPQ62-Grandmother;P61:wikibase-itemPQ62-Sibling-in-law;P61:wikibase-itemPQ62-Father-in-law;P61:wikibase-itemPQ62-Son-in-law;P66:string;P67:string;P28:wikibase-item;P6:wikibase-item;P5:wikibase-item;P43:wikibase-item;P19:wikibase-item;P18:wikibase-item;P17:wikibase-item;P12:wikibase-itemPQ13-Witness;P12:wikibase-itemPQ13-Notary;P12:wikibase-itemPQ13-Judge;P12:wikibase-itemPQ13-PartyA;P12:wikibase-itemPQ13-PartyB;P15:wikibase-item;P37:wikibase-item;P35:wikibase-item;P46:wikibase-item
AMSPO-D41_1;Instance of Production;;Q13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1591;Within_1333-07-29;Reproduction;;;;;D41P65|D41P528|D41P442|D41P548;D41P233;D41P594;;;;AMSPO1591_b;;
AMSPO-D1;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1553;Within_1326-09-29;Sale;AMSPO-D1payment;AMSPO-D1_Properties;D1P303|D1P174;D1P154|D1P103;D1P212|D1P368|D1P122|D1P671;;;;;;;;
AMSPO-D10;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1564;Within_1328-01-12;Sale;AMSPO-D10payment;AMSPO-D10_Properties;D10P487|D10P333|D10P336|D10P326|D10P672|D10P669;D10P103|D10P154;D10PB1|D10P673|D10P367|D10P677|D10P28;;;;;;;;
AMSPO-D100;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1672;Within_1354-12-21;Sale;AMSPO-D100payment;AMSPO-D100_Properties;D100P456;D100P154;D100P309|D100PB1|D100P54|D100P434|D100P71;;;;;;;;
AMSPO-D101;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1675;Within_1355-04-02;Sale;AMSPO-D101payment;AMSPO-D101_Properties;D101P456;D101P154;D101P72|D101P309|D101P337|D101P396;;;;;;;;
AMSPO-D102;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1605;Within_1355-05-02;Sale;AMSPO-D102payment;AMSPO-D102_Properties;D102P157;D102P251|D102P154;D102P164|D102P506|D102P629;;;;;;;;
AMSPO-D103;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1350;Within_1355-09-06;Sale;AMSPO-D103payment;AMSPO-D103_Properties;D103P512;D103P154;D103P641|D103P388|D103P139|D103P547;;;;;;;;
AMSPO-D104;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1677;Within_1357-07-11;Sale;AMSPO-D104payment;AMSPO-D104_Properties;D104P100;D104P154;D104P230|D104P229|D104P173|D104P24|D104P29;;;;;;;;
AMSPO-D105;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1551;Within_1358-06-09;Sale;AMSPO-D105payment;AMSPO-D105_Properties;D105P142;D105P154;D105P503|D105PB2|D105P651|D105P111|D105P284;;;;;;;;
AMSPO-D106;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1678;Within_1358-06-17;Sale;AMSPO-D106payment;AMSPO-D106_Properties;D106P512;D106P154;D106P623|D106P126|D106PB3|D106P14|D106P569;;;;;;;;
